"STATION","NAME","DATE","PRCP","SNWD","TMAX","TMIN"
"GME00123970","HOLZKIRCHEN, GM","2000-01-01","0.30","13.4","35","27"
"GME00123970","HOLZKIRCHEN, GM","2000-01-02","0.00","11.4","42","26"
"GME00123970","HOLZKIRCHEN, GM","2000-01-03","0.00","9.4","40","21"
"GME00123970","HOLZKIRCHEN, GM","2000-01-04","0.09","8.3","43","20"
"GME00123970","HOLZKIRCHEN, GM","2000-01-05","0.01","7.5","43","32"
"GME00123970","HOLZKIRCHEN, GM","2000-01-06","0.00","6.7","51","23"
"GME00123970","HOLZKIRCHEN, GM","2000-01-07","0.00","5.9","49","26"
"GME00123970","HOLZKIRCHEN, GM","2000-01-08","0.00","5.5","46","23"
"GME00123970","HOLZKIRCHEN, GM","2000-01-09","0.14","5.5","36","22"
"GME00123970","HOLZKIRCHEN, GM","2000-01-10","0.00","6.7","33","27"
"GME00123970","HOLZKIRCHEN, GM","2000-01-11","0.00","6.3","28","26"
"GME00123970","HOLZKIRCHEN, GM","2000-01-12","0.00","6.3","28","23"
"GME00123970","HOLZKIRCHEN, GM","2000-01-13","0.00","6.3","32","16"
"GME00123970","HOLZKIRCHEN, GM","2000-01-14","0.00","6.3","35","11"
"GME00123970","HOLZKIRCHEN, GM","2000-01-15","0.01","6.3","20","11"
"GME00123970","HOLZKIRCHEN, GM","2000-01-16","0.00","6.7","25","16"
"GME00123970","HOLZKIRCHEN, GM","2000-01-17","0.22","6.3","36","22"
"GME00123970","HOLZKIRCHEN, GM","2000-01-18","0.19","5.1","36","32"
"GME00123970","HOLZKIRCHEN, GM","2000-01-19","0.01","6.7","33","24"
"GME00123970","HOLZKIRCHEN, GM","2000-01-20","0.02","6.3","31","22"
"GME00123970","HOLZKIRCHEN, GM","2000-01-21","0.75","7.1","31","27"
"GME00123970","HOLZKIRCHEN, GM","2000-01-22","0.58","16.1","32","28"
"GME00123970","HOLZKIRCHEN, GM","2000-01-23","0.24","25.6","31","21"
"GME00123970","HOLZKIRCHEN, GM","2000-01-24","0.01","28.3","21","11"
"GME00123970","HOLZKIRCHEN, GM","2000-01-25","0.00","27.6","16","-6"
"GME00123970","HOLZKIRCHEN, GM","2000-01-26","0.00","27.6","28","-5"
"GME00123970","HOLZKIRCHEN, GM","2000-01-27","0.00","26.8","39","3"
"GME00123970","HOLZKIRCHEN, GM","2000-01-28","0.00","25.6","41","10"
"GME00123970","HOLZKIRCHEN, GM","2000-01-29","0.02","22.8","44","30"
"GME00123970","HOLZKIRCHEN, GM","2000-01-30","0.38","14.2","44","41"
"GME00123970","HOLZKIRCHEN, GM","2000-01-31","0.00","8.3","51","37"
"GME00123970","HOLZKIRCHEN, GM","2000-02-01","0.00","6.3","59","35"
"GME00123970","HOLZKIRCHEN, GM","2000-02-02","0.33","4.3","53","37"
"GME00123970","HOLZKIRCHEN, GM","2000-02-03","0.02","3.5","42","34"
"GME00123970","HOLZKIRCHEN, GM","2000-02-04","0.06","2.8","47","26"
